fixed acidity,"volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol",classe,posicaoOriginal
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,7,407.0
9.1,0.3,0.34,2,0.064,12,25,0.99516,3.26,0.84,11.7,7,1007.0
6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5,625.0
6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,5,1295.0
7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,4,170.0
9.4,0.43,0.24,2.8,0.092,14,45,0.998,3.19,0.73,10,6,551.0
9.5,0.37,0.52,2,0.088,12,51,0.99613,3.29,0.58,11.1,6,957.0
6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,7,904.0
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8,498.0
8.2,0.28,0.6,3,0.104,10,22,0.99828,3.39,0.68,10.6,5,1481.0
8.8,0.45,0.43,1.4,0.076,12,21,0.99551,3.21,0.75,10.2,6,1161.0
6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,5,48.0
7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5,6,546.0
8.9,0.75,0.14,2.5,0.086,9,30,0.99824,3.34,0.64,10.5,5,885.0
10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,6,292.0
7.1,0.69,0.08,2.1,0.063,42,52,0.99608,3.42,0.6,10.2,6,1529.0
7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7,1024.0
8.2,0.39,0.38,1.5,0.058,10,29,0.9962,3.26,0.74,9.8,5,613.0
7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,6,1187.0
7.7,0.26,0.26,2,0.052,19,77,0.9951,3.15,0.79,10.9,6,1198.0
7.1,0.685,0.35,2,0.088,9,92,0.9963,3.28,0.62,9.4,5,843.0
8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,5,1108.0
7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6,134.0
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7,458.0
7.7,1.005,0.15,2.1,0.102,11,32,0.99604,3.23,0.48,10,5,1012.0
11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3,6,378.0
8.8,0.27,0.39,2,0.1,20,27,0.99546,3.15,0.69,11.2,6,963.0
8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,5,201.0
7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,8,267.0
8.3,0.85,0.14,2.5,0.093,13,54,0.99724,3.36,0.54,10.1,5,1361.0
8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,6,226.0
7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,6,1116.0
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5,141.0
7.2,0.38,0.38,2.8,0.068,23,42,0.99356,3.34,0.72,12.9,7,938.0
7.7,0.6,0.06,2,0.079,19,41,0.99697,3.39,0.62,10.1,6,995.0
8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7,6,537.0
12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5,984.0
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,848.0
7.3,0.735,0,2.2,0.08,18,28,0.99765,3.41,0.6,9.4,5,1553.0
7,0.78,0.08,2,0.093,10,19,0.9956,3.4,0.47,10,5,706.0
7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,5,1401.0
9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1,5,545.0
