fixed acidity,"volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol",classe,posicaoOriginal
9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5,6,1190.0
7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,7,334.0
10.2,0.33,0.46,1.9,0.081,6,9,0.99628,3.1,0.48,10.4,6,1214.0
10.5,0.36,0.47,2.2,0.074,9,23,0.99638,3.23,0.76,12,6,1223.0
9.4,0.395,0.46,4.6,0.094,3,10,0.99639,3.27,0.64,12.2,7,913.0
8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4,5,1165.0
8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,4,1276.0
8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,6,467.0
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,132.0
10.1,0.38,0.5,2.4,0.104,6,13,0.99643,3.22,0.65,11.6,7,972.0
5.4,0.42,0.27,2,0.092,23,55,0.99471,3.78,0.64,12.3,7,1111.0
6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,4,1235.0
9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,5,227.0
6.8,0.48,0.25,2,0.076,29,61,0.9953,3.34,0.6,10.4,5,1523.0
10,0.73,0.43,2.3,0.059,15,31,0.9966,3.15,0.57,11,5,668.0
9,0.69,0,2.4,0.088,19,38,0.999,3.35,0.6,9.3,5,739.0
7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3,5,587.0
7.4,0.53,0.12,1.9,0.165,4,12,0.99702,3.26,0.86,9.2,5,808.0
7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5,976.0
10.2,0.44,0.58,4.1,0.092,11,24,0.99745,3.29,0.99,12,7,946.0
7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,5,454.0
7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6,697.0
9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6,799.0
7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,6,1171.0
7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,6,1148.0
6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,5,1446.0
7.1,0.59,0.01,2.5,0.077,20,85,0.99746,3.55,0.59,9.8,5,784.0
12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,5,264.0
7,0.64,0.02,2.1,0.067,9,23,0.997,3.47,0.67,9.4,6,702.0
8,0.25,0.43,1.7,0.067,22,50,0.9946,3.38,0.6,11.9,6,1135.0
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6,380.0
7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,6,1280.0
