fixed acidity,"volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol",classe,posicaoOriginal
8.5,0.18,0.51,1.75,0.071,45,88,0.99524,3.33,0.76,11.8,7,1156.0
7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,5,990.0
10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,5,296.0
7.9,0.34,0.42,2,0.086,8,19,0.99546,3.35,0.6,11.4,6,1091.0
9.8,0.34,0.39,1.4,0.066,3,7,0.9947,3.19,0.55,11.4,7,986.0
6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5,930.0
5.2,0.49,0.26,2.3,0.09,23,74,0.9953,3.71,0.62,12.2,6,1377.0
7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,5,246.0
7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5,21.0
9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,6,980.0
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6,270.0
9.2,0.54,0.31,2.3,0.112,11,38,0.99699,3.24,0.56,10.9,5,1360.0
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5,90.0
7.6,0.43,0.31,2.1,0.069,13,74,0.9958,3.26,0.54,9.9,6,1431.0
9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,5,321.0
8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,7,1167.0
8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,5,682.0
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5,107.0
11.2,0.4,0.5,2,0.099,19,50,0.99783,3.1,0.58,10.4,5,1548.0
8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,6,1425.0
7.1,0.69,0.04,2.1,0.068,19,27,0.99712,3.44,0.67,9.8,5,1511.0
12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,6,599.0
8.6,0.47,0.3,3,0.076,30,135,0.9976,3.3,0.53,9.4,5,313.0
8.8,0.24,0.35,1.7,0.055,13,27,0.99394,3.14,0.59,11.3,7,1125.0
8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,6,935.0
9.9,0.57,0.25,2,0.104,12,89,0.9963,3.04,0.9,10.1,5,1413.0
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6,496.0
11.5,0.35,0.49,3.3,0.07,10,37,1.0003,3.32,0.91,11,6,570.0
9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,5,447.0
8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,5,255.0
6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6,1259.0
13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,5,611.0
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,1204.0
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,846.0
8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,6,1055.0
13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,5,470.0
9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,6,552.0
