fixed acidity,"volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol",classe,posicaoOriginal
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6,239.0
8.5,0.34,0.44,1.7,0.079,6,12,0.99605,3.52,0.63,10.7,5,973.0
8.4,0.39,0.1,1.7,0.075,6,25,0.99581,3.09,0.43,9.7,6,1332.0
8.5,0.34,0.4,4.7,0.055,3,9,0.99738,3.38,0.66,11.6,7,1086.0
5.6,0.605,0.05,2.4,0.073,19,25,0.99258,3.56,0.55,12.9,5,1052.0
10.6,0.31,0.49,2.5,0.067,6,21,0.9987,3.26,0.86,10.7,6,547.0
6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,6,148.0
5.9,0.46,0,1.9,0.077,25,44,0.99385,3.5,0.53,11.2,5,1272.0
7.8,0.87,0.26,3.8,0.107,31,67,0.99668,3.26,0.46,9.2,5,1331.0
7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5,186.0
7.7,0.66,0.04,1.6,0.039,4,9,0.9962,3.4,0.47,9.4,5,688.0
6.3,0.76,0,2.9,0.072,26,52,0.99379,3.51,0.6,11.5,6,1127.0
10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9,6,350.0
7,0.54,0,2.1,0.079,39,55,0.9956,3.39,0.84,11.4,6,1422.0
7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5,1074.0
7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,5,164.0
5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5,49.0
10.4,0.24,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11,6,477.0
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7,423.0
7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5,1387.0
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6,434.0
6.1,0.64,0.02,2.4,0.069,26,46,0.99358,3.47,0.45,11,5,1255.0
7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5,13.0
6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,5,1183.0
8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,5,302.0
7.1,0.35,0.29,2.5,0.096,20,53,0.9962,3.42,0.65,11,6,315.0
9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,6,490.0
8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5,720.0
7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5,5.0
8.3,0.53,0,1.4,0.07,6,14,0.99593,3.25,0.64,10,6,1110.0
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5,72.0
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6,249.0
7.9,0.18,0.4,1.8,0.062,7,20,0.9941,3.28,0.7,11.1,5,1509.0
7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2,5,373.0
7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5,864.0
9.2,0.36,0.34,1.6,0.062,5,12,0.99667,3.2,0.67,10.5,6,1170.0
7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,6,1266.0
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5,640.0
12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,6,548.0
9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,6,115.0
7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,5,165.0
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6,535.0
9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5,615.0
7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,6,42.0
7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5,879.0
6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5,934.0
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7,421.0
9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6,319.0
7.8,0.545,0.12,2.5,0.068,11,35,0.996,3.34,0.61,11.6,6,708.0
9.3,0.41,0.39,2.2,0.064,12,31,0.9984,3.26,0.65,10.2,5,675.0
7.2,0.39,0.44,2.6,0.066,22,48,0.99494,3.3,0.84,11.5,6,1585.0
9.8,0.39,0.43,1.65,0.068,5,11,0.99478,3.19,0.46,11.4,5,1181.0
7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5,883.0
7,0.58,0.28,4.8,0.085,12,69,0.99633,3.32,0.7,11,6,1257.0
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,6,1434.0
10.1,0.31,0.35,1.6,0.075,9,28,0.99672,3.24,0.83,11.2,7,838.0
6.5,0.4,0.1,2,0.076,30,47,0.99554,3.36,0.48,9.4,6,992.0
6.7,0.86,0.07,2,0.1,20,57,0.99598,3.6,0.74,11.7,6,1301.0
9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11,6,541.0
6.6,0.61,0,1.6,0.069,4,8,0.99396,3.33,0.37,10.4,4,1369.0
8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6,4,1238.0
9.7,0.42,0.46,2.1,0.074,5,16,0.99649,3.27,0.74,12.3,6,1172.0
7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,5,1453.0
7.2,0.605,0.02,1.9,0.096,10,31,0.995,3.46,0.53,11.8,6,1364.0
13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,6,603.0
11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,5,291.0
6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6,1212.0
8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,6,69.0
8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,8,1202.0
11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,7,840.0
7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,5,1559.0
8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,6,232.0
5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,5,1597.0
7.9,0.765,0,2,0.084,9,22,0.99619,3.33,0.68,10.9,6,1282.0
7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5,2.0
7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1,6,1426.0
7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,7,1079.0
8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,5,240.0
6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,4,1461.0
9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,7,200.0
8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,6,566.0
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5,1563.0
9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6,854.0
10.1,0.37,0.34,2.4,0.085,5,17,0.99683,3.17,0.65,10.6,7,1035.0
7.6,0.5,0.29,2.3,0.086,5,14,0.99502,3.32,0.62,11.5,6,1169.0
11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,6,468.0
7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5,1289.0
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,343.0
7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,6,220.0
7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6,54.0
7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3,6,1118.0
6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6,51.0
6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,6,923.0
10.5,0.59,0.49,2.1,0.07,14,47,0.9991,3.3,0.56,9.6,4,573.0
7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,5,207.0
7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,4,1293.0
8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,6,607.0
6.8,0.62,0.08,1.9,0.068,28,38,0.99651,3.42,0.82,9.5,6,1593.0
8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5,43.0
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7,364.0
10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,5,1416.0
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,269.0
8.3,0.49,0.36,1.8,0.222,6,16,0.998,3.18,0.6,9.5,6,666.0
7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5,993.0
7.6,0.79,0.21,2.3,0.087,21,68,0.9955,3.12,0.44,9.2,5,1304.0
7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,5,736.0
6.8,0.64,0.03,2.3,0.075,14,31,0.99545,3.36,0.58,10.4,6,1462.0
8.6,0.47,0.47,2.4,0.074,7,29,0.9979,3.08,0.46,9.5,5,654.0
8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,5,621.0
10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,6,416.0
7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6,4,703.0
8.1,0.53,0.22,2.2,0.078,33,89,0.99678,3.26,0.46,9.6,6,1222.0
10.8,0.47,0.43,2.1,0.171,27,66,0.9982,3.17,0.76,10.8,6,1109.0
13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,6,328.0
7.3,0.44,0.2,1.6,0.049,24,64,0.9935,3.38,0.57,11.7,6,1271.0
7.7,0.75,0.27,3.8,0.11,34,89,0.99664,3.24,0.45,9.3,5,1373.0
7.7,0.56,0.08,2.5,0.114,14,46,0.9971,3.24,0.66,9.6,6,803.0
11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6,669.0
9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,5,1308.0
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,179.0
7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,6,385.0
6.4,0.79,0.04,2.2,0.061,11,17,0.99588,3.53,0.65,10.4,6,1512.0
8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,6,918.0
6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5,728.0
8,0.62,0.35,2.8,0.086,28,52,0.997,3.31,0.62,10.8,5,1069.0
5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,5,1131.0
8,0.59,0.05,2,0.089,12,32,0.99735,3.36,0.61,10,5,959.0
9.1,0.37,0.32,2.1,0.064,4,15,0.99576,3.3,0.8,11.2,6,1302.0
8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5,23.0
7.8,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2,6,388.0
6.2,0.64,0.09,2.5,0.081,15,26,0.99538,3.57,0.63,12,5,1538.0
7.7,0.61,0.18,2.4,0.083,6,20,0.9963,3.29,0.6,10.2,6,1065.0
8.4,0.37,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1,6,451.0
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5,284.0
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,40.0
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,144.0
6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,6,1248.0
5.8,0.61,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9,6,1587.0
11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,5,356.0
7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,6,897.0
7,0.56,0.13,1.6,0.077,25,42,0.99629,3.34,0.59,9.2,5,1568.0
8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,5,273.0
13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,6,294.0
7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5,1071.0
5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,6,1270.0
6.2,0.65,0.06,1.6,0.05,6,18,0.99348,3.57,0.54,11.95,5,1492.0
9.2,0.46,0.23,2.6,0.091,18,77,0.99922,3.15,0.51,9.4,5,1225.0
9.5,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6,6,427.0
8.5,0.37,0.32,1.8,0.066,26,51,0.99456,3.38,0.72,11.8,6,1264.0
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5,88.0
7.3,0.43,0.24,2.5,0.078,27,67,0.99648,3.6,0.59,11.1,6,1357.0
10.7,0.4,0.37,1.9,0.081,17,29,0.99674,3.12,0.65,11.2,6,1123.0
6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,6,191.0
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,1341.0
12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,5,363.0
7.3,0.59,0.26,2,0.08,17,104,0.99584,3.28,0.52,9.9,5,1397.0
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,103.0
4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6,95.0
8.2,0.42,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7,6,528.0
9.4,0.4,0.47,2.5,0.087,6,20,0.99772,3.15,0.5,10.5,5,1095.0
