fixed acidity,"volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol",classe,posicaoOriginal
9,0.66,0.17,3,0.077,5,13,0.9976,3.29,0.55,10.4,5,725.0
9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,5,457.0
5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7,997.0
7.6,0.41,0.49,2,0.088,16,43,0.998,3.48,0.64,9.1,5,521.0
9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4,5,1203.0
11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,6,1021.0
10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6,556.0
6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,4,813.0
11.2,0.66,0.24,2.5,0.085,16,53,0.9993,3.06,0.72,11,6,543.0
6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,6,1517.0
12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6,4,409.0
9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,5,1166.0
8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,5,360.0
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6,276.0
9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,8,481.0
9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,6,983.0
8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4,5,955.0
11.1,0.44,0.42,2.2,0.064,14,19,0.99758,3.25,0.57,10.4,6,1543.0
7.2,0.635,0.07,2.6,0.077,16,86,0.99748,3.51,0.54,9.7,5,865.0
7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6,119.0
7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6,1237.0
11.9,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7,6,344.0
7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6,745.0
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5,1567.0
10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,6,474.0
6.6,0.44,0.15,2.1,0.076,22,53,0.9957,3.32,0.62,9.3,5,1211.0
8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5,685.0
8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,5,924.0
7.5,0.64,0,2.4,0.077,18,29,0.9965,3.32,0.6,10,6,612.0
7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,5,988.0
6.8,0.67,0.15,1.8,0.118,13,20,0.9954,3.42,0.67,11.3,6,1578.0
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5,433.0
6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5,96.0
9.7,0.66,0.34,2.6,0.094,12,88,0.99796,3.26,0.66,10.1,5,1320.0
7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.0666666666667,6,1439.0
6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5,1464.0
6.4,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5,1193.0
7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11,5,1290.0
7,0.55,0.13,2.2,0.075,15,35,0.9959,3.36,0.59,9.7,6,1535.0
8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,6,1039.0
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7,430.0
9.1,0.6,0,1.9,0.058,5,10,0.9977,3.18,0.63,10.4,6,1130.0
8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,6,149.0
8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5,123.0
7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,5,138.0
10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3,6,341.0
8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,7,896.0
6.9,0.48,0.2,1.9,0.082,9,23,0.99585,3.39,0.43,9.05,4,1521.0
8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2,6,436.0
8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7,807.0
7.5,0.31,0.41,2.4,0.065,34,60,0.99492,3.34,0.85,11.4,6,1586.0
7.6,0.41,0.33,2.5,0.078,6,23,0.9957,3.3,0.58,11.2,5,1427.0
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7,205.0
9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,5,540.0
7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2,5,203.0
9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,7,389.0
8.6,0.49,0.51,2,0.422,16,62,0.9979,3.03,1.17,9,5,692.0
6.4,0.31,0.09,1.4,0.066,15,28,0.99459,3.42,0.7,10,7,1494.0
6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,5,222.0
6.7,0.7,0.08,3.75,0.067,8,16,0.99334,3.43,0.52,12.6,5,1471.0
8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,4,266.0
10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,7,589.0
6,0.64,0.05,1.9,0.066,9,17,0.99496,3.52,0.78,10.6,5,1487.0
8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,6,567.0
7.1,0.56,0.14,1.6,0.078,7,18,0.99592,3.27,0.62,9.3,5,961.0
8,1.18,0.21,1.9,0.083,14,41,0.99532,3.34,0.47,10.5,5,1312.0
9.3,0.38,0.48,3.8,0.132,3,11,0.99577,3.23,0.57,13.2,6,910.0
9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8,5,1262.0
