fixed acidity,"volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol",classe,posicaoOriginal
11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6,398.0
7.2,0.57,0.06,1.6,0.076,9,27,0.9972,3.36,0.7,9.6,6,662.0
6.1,0.48,0.09,1.7,0.078,18,30,0.99402,3.45,0.54,11.2,6,1102.0
9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,5,1241.0
6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,5,299.0
7.1,0.715,0,2.35,0.071,21,47,0.99632,3.29,0.45,9.4,5,818.0
8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7,128.0
6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5,1581.0
10,0.42,0.5,3.4,0.107,7,21,0.9979,3.26,0.93,11.8,6,365.0
10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,7,357.0
10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,6,1221.0
6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,6,1122.0
7.1,0.59,0,2.1,0.091,9,14,0.99488,3.42,0.55,11.5,7,1030.0
7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,5,314.0
7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6,1234.0
6.7,0.48,0.08,2.1,0.064,18,34,0.99552,3.33,0.64,9.7,5,1525.0
6.5,0.51,0.15,3,0.064,12,27,0.9929,3.33,0.59,12.8,6,1311.0
9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2,5,651.0
6.3,0.57,0.28,2.1,0.048,13,49,0.99374,3.41,0.6,12.8,5,1105.0
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,845.0
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,22.0
8.6,0.33,0.4,2.6,0.083,16,68,0.99782,3.3,0.48,9.4,5,747.0
7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,6,1084.0
7.8,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7,6,755.0
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7,948.0
6.1,0.6,0.08,1.8,0.071,14,45,0.99336,3.38,0.54,11,5,1473.0
7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,5,260.0
