fixed acidity,"volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol",classe,posicaoOriginal
6.6,0.7,0.08,2.6,0.106,14,27,0.99665,3.44,0.58,10.2,5,1519.0
9.9,0.53,0.57,2.4,0.093,30,52,0.9971,3.19,0.76,11.6,7,1058.0
10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7,514.0
6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,6,184.0
8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,5,522.0
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,4,161.0
8.1,0.29,0.36,2.2,0.048,35,53,0.995,3.27,1.01,12.4,7,1408.0
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,0.0
6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,6,1497.0
5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,6,829.0
8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,5,1382.0
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6,1249.0
8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5,126.0
9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,5,1306.0
8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5,92.0
9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7,4,704.0
9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5,590.0
7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5,933.0
7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5,6.0
8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,6,1291.0
7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,6,242.0
11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,5,362.0
6.5,0.39,0.23,8.3,0.051,28,91,0.9952,3.44,0.55,12.1,6,494.0
4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,7,821.0
7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,5,719.0
7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4,8,1549.0
9.3,0.49,0.36,1.7,0.081,3,14,0.99702,3.27,0.78,10.9,6,1048.0
6.7,0.67,0.02,1.9,0.061,26,42,0.99489,3.39,0.82,10.9,6,1565.0
9,0.36,0.52,2.1,0.111,5,10,0.99568,3.31,0.62,11.3,6,956.0
9.1,0.64,0.23,3.1,0.095,13,38,0.9998,3.28,0.59,9.7,5,687.0
