fixed acidity,"volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol",classe,posicaoOriginal
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,180.0
7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,5,404.0
7.5,0.58,0.2,2,0.073,34,44,0.99494,3.1,0.43,9.3,5,1273.0
6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6,77.0
6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5,823.0
6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,6,426.0
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,131.0
13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,5,353.0
6.2,0.6,0.08,2,0.09,32,44,0.9949,3.45,0.58,10.5,5,1594.0
6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,6,1520.0
8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5,626.0
6.3,0.6,0.1,1.6,0.048,12,26,0.99306,3.55,0.51,12.1,5,1547.0
8.8,0.7,0,1.7,0.069,8,19,0.99701,3.31,0.53,10,6,762.0
14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4,6,544.0
9.3,0.37,0.44,1.6,0.038,21,42,0.99526,3.24,0.81,10.8,7,797.0
8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,5,145.0
7,0.745,0.12,1.8,0.114,15,64,0.99588,3.22,0.59,9.5,6,1194.0
6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6,569.0
9,0.6,0.29,2,0.069,32,73,0.99654,3.34,0.57,10,5,1350.0
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7,279.0
8.1,0.72,0.09,2.8,0.084,18,49,0.9994,3.43,0.72,11.1,6,726.0
8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,4,647.0
7.2,0.53,0.14,2.1,0.064,15,29,0.99323,3.35,0.61,12.1,6,1297.0
7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,5,384.0
8.4,0.29,0.4,1.7,0.067,8,20,0.99603,3.39,0.6,10.5,5,1458.0
8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5,50.0
8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,7,1162.0
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6,245.0
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5,194.0
7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,5,1420.0
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7,290.0
9.8,0.51,0.19,3.2,0.081,8,30,0.9984,3.23,0.58,10.5,6,816.0
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5,475.0
7.7,0.56,0.2,2,0.075,9,39,0.9987,3.48,0.62,9.3,5,734.0
7.9,0.29,0.49,2.2,0.096,21,59,0.99714,3.31,0.67,10.1,6,1528.0
7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7,1029.0
5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,6,1298.0
7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,5,298.0
9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,5,392.0
7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,5,196.0
7.5,0.57,0.08,2.6,0.089,14,27,0.99592,3.3,0.59,10.4,6,1033.0
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,99.0
11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,5,252.0
7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,6,1281.0
9.9,0.72,0.55,1.7,0.136,24,52,0.99752,3.35,0.94,10,5,1207.0
5,1.04,0.24,1.6,0.05,32,96,0.9934,3.74,0.62,11.5,5,553.0
8.3,0.33,0.42,2.3,0.07,9,20,0.99426,3.38,0.77,12.7,7,1053.0
12.6,0.39,0.49,2.5,0.08,8,20,0.9992,3.07,0.82,10.3,6,1224.0
7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7,5,1493.0
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,1205.0
12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,6,402.0
6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,6,355.0
8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6,1278.0
6.9,0.54,0.3,2.2,0.088,9,105,0.99725,3.25,1.18,10.5,6,1367.0
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4,41.0
6.2,0.7,0.15,5.1,0.076,13,27,0.99622,3.54,0.6,11.9,6,1577.0
7.2,0.34,0.24,2,0.071,30,52,0.99576,3.44,0.58,10.1,5,890.0
8.7,0.675,0.1,1.6,0.09,4,11,0.99745,3.31,0.65,9.55,5,1396.0
9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2.0,9.4,4,151.0
8.2,0.32,0.42,2.3,0.098,3,9,0.99506,3.27,0.55,12.3,6,1023.0
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7,318.0
7,0.4,0.32,3.6,0.061,9,29,0.99416,3.28,0.49,11.3,7,978.0
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5,12.0
12.9,0.35,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12,7,538.0
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5,422.0
10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6,674.0
10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7,6,518.0
11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8,7,375.0
7.3,0.69,0.32,2.2,0.069,35,104,0.99632,3.33,0.51,9.5,5,1572.0
8.3,0.43,0.3,3.4,0.079,7,34,0.99788,3.36,0.61,10.5,5,778.0
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7,37.0
9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,5,473.0
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,114.0
6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,5,419.0
6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6,1210.0
7.6,0.41,0.14,3,0.087,21,43,0.9964,3.32,0.57,10.5,6,632.0
8.5,0.585,0.18,2.1,0.078,5,30,0.9967,3.2,0.48,9.8,6,598.0
8.6,0.83,0,2.8,0.095,17,43,0.99822,3.33,0.6,10.4,6,1025.0
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7,502.0
11.1,0.39,0.54,2.7,0.095,21,101,1.0001,3.13,0.51,9.5,5,744.0
7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7,1466.0
8.7,0.69,0,3.2,0.084,13,33,0.9992,3.36,0.45,9.4,5,712.0
6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,6,1335.0
7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,5,58.0
6.8,0.49,0.22,2.3,0.071,13,24,0.99438,3.41,0.83,11.3,6,866.0
8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4,7,492.0
9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,6,1076.0
9,0.47,0.31,2.7,0.084,24,125,0.9984,3.31,0.61,9.4,5,694.0
8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,7,1150.0
8.2,0.78,0,2.2,0.089,13,26,0.9978,3.37,0.46,9.6,4,1263.0
