5736,344,124,6393
5826,34,75,6662
5775,297,105,6420
5632,327,183,6455
5703,340,131,6423
5710,330,174,6383
5904,281,5,6407
5753,323,45,6477
5704,342,140,6412
5770,283,135,6410
5677,351,183,6386
5844,35,57,6661
5709,291,171,6426
5637,41,178,6741
5680,49,154,6714
5845,353,15,6384
5363,334,521,6379
5746,40,155,6656
5904,281,5,6407
5754,320,44,6480
5797,292,83,6425
5770,342,74,6412
5347,42,468,6740
5641,310,264,6383
5726,336,108,6427
5810,347,74,6366
5827,290,82,6398
5790,317,8,6483
5328,326,516,6428
5772,309,133,6384
