@relation '/home/lapsec/Documentos/Classificador/bases/NSL_KDD-master/KDDTrain+binary_class-weka.filters.unsupervised.attribute.Remove-R10-34,38-41-weka.filters.unsupervised.attribute.Remove-R10-12-weka.filters.unsupervised.attribute.Remove-R1,8-9'

@attribute protocol_type {icmp,tcp,udp}
@attribute service {IRC,Z39_50,aol,harvest,tftp_u,http_2784,http_8001,X11,urh_i,rje,auth,bgp,courier,csnet_ns,ctf,daytime,discard,domain,domain_u,echo,eco_i,ecr_i,red_i,tim_i,efs,exec,finger,ftp,ftp_data,pm_dump,gopher,hostnames,http,http_443,imap4,iso_tsap,klogin,kshell,ldap,link,login,mtp,name,netbios_dgm,netbios_ssn,netbios_ns,netstat,nnsp,nntp,ntp_u,other,pop_2,pop_3,printer,private,remote_job,shell,smtp,sql_net,ssh,sunrpc,supdup,systat,telnet,time,urp_i,uucp,uucp_path,vmnet,whois}
@attribute flag {REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH,OTH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute land numeric
@attribute classe {0,1}

@data
tcp,ftp_data,SF,491,0,0,0
udp,other,SF,146,0,0,0
tcp,private,S0,0,0,0,1
tcp,http,SF,232,8153,0,0
tcp,http,SF,199,420,0,0
tcp,private,REJ,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,remote_job,S0,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,private,REJ,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,http,SF,287,2251,0,0
tcp,ftp_data,SF,334,0,0,1
tcp,name,S0,0,0,0,1
tcp,netbios_ns,S0,0,0,0,1
tcp,http,SF,300,13788,0,0
icmp,eco_i,SF,18,0,0,1
tcp,http,SF,233,616,0,0
tcp,http,SF,343,1178,0,0
tcp,mtp,S0,0,0,0,1
tcp,private,S0,0,0,0,1
tcp,http,SF,253,11905,0,0
udp,other,SF,147,105,0,0
tcp,mtp,S0,0,0,0,1
tcp,telnet,SF,437,14421,0,0
tcp,private,S0,0,0,0,1
tcp,http,SF,227,6588,0,0
tcp,http,SF,215,10499,0,0
tcp,http,SF,241,1400,0,0
icmp,eco_i,SF,8,0,0,1
tcp,finger,S0,0,0,0,1
tcp,http,SF,303,555,0,0
tcp,private,REJ,0,0,0,1
udp,domain_u,SF,45,45,0,0
udp,private,SF,105,147,0,0
udp,domain_u,SF,43,43,0,0
tcp,supdup,S0,0,0,0,1
tcp,http,SF,324,2302,0,0
tcp,uucp_path,S0,0,0,0,1
tcp,ftp_data,S0,0,0,0,1
tcp,Z39_50,S0,0,0,0,1
tcp,smtp,SF,1591,372,0,0
udp,other,SF,146,105,0,0
tcp,http,SF,290,3006,0,0
tcp,csnet_ns,S0,0,0,0,1
udp,private,SF,28,0,0,1
tcp,http,SF,255,861,0,0
tcp,ftp_data,SF,334,0,0,1
tcp,ftp_data,S0,0,0,0,1
tcp,http,SF,302,498,0,0
tcp,private,REJ,0,0,0,1
udp,private,SF,28,0,0,1
tcp,http,SF,220,1398,0,0
udp,domain_u,SF,43,69,0,0
udp,domain_u,SF,44,133,0,0
icmp,eco_i,SF,8,0,0,1
tcp,uucp,S0,0,0,0,1
tcp,finger,S0,0,0,0,1
udp,domain_u,SF,43,43,0,0
tcp,ftp_data,SF,641,0,0,0
tcp,private,REJ,0,0,0,1
tcp,private,REJ,0,0,0,1
tcp,http,SF,310,2794,0,0
tcp,private,REJ,0,0,0,1
tcp,smtp,SF,696,333,0,0
tcp,netbios_dgm,RSTR,0,0,0,1
tcp,http,S0,0,0,0,1
tcp,netbios_dgm,REJ,0,0,0,1
tcp,supdup,S0,0,0,0,1
tcp,http,SF,221,2878,0,0
tcp,private,S0,0,0,0,1
icmp,urp_i,SF,181,0,0,0
udp,domain_u,SF,42,42,0,0
tcp,private,S0,0,0,0,1
tcp,ftp_data,SF,12,0,0,0
tcp,auth,S0,0,0,0,1
tcp,http,SF,210,2790,0,0
tcp,http,SF,321,5683,0,0
tcp,private,REJ,0,0,0,1
tcp,http,SF,329,3982,0,0
tcp,uucp_path,REJ,0,0,0,1
tcp,domain,S0,0,0,0,1
icmp,eco_i,SF,8,0,0,1
tcp,http,SF,320,379,0,0
tcp,private,S0,0,0,0,1
tcp,http,SF,225,3762,0,0
tcp,ftp,S0,0,0,0,1
tcp,private,REJ,0,0,0,1
udp,other,SF,146,105,0,0
tcp,http,SF,247,1416,0,0
tcp,http,SF,353,1483,0,0
udp,domain_u,SF,44,44,0,0
tcp,private,REJ,0,0,0,1
tcp,csnet_ns,S0,0,0,0,1
tcp,smtp,SF,3065,331,0,0
udp,other,SF,102,102,0,0
tcp,http,SF,259,750,0,0
udp,other,SF,147,105,0,0
tcp,private,S0,0,0,0,1
tcp,http,SF,0,354,0,0
tcp,http,SF,309,306,0,0
tcp,http,REJ,0,0,0,0
tcp,http,SF,278,7227,0,0
udp,private,SF,28,0,0,1
